Sum of Action_Obligation_OMB23_GDP21,Column Labels,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Grand Total
372380824,0.00%,0.38%,0.09%,0.01%,0.02%,0.01%,0.00%,0.00%,0.01%,0.01%,0.02%,0.07%,0.03%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%
38674917,0.04%,0.04%,0.01%,0.03%,0.04%,0.04%,0.07%,0.01%,0.03%,0.02%,0.03%,0.04%,0.03%,0.04%,0.02%,0.02%,0.02%,0.03%,0.04%,0.02%,-0.01%,0.03%,0.03%
6419980,0.04%,0.04%,0.09%,0.01%,0.04%,0.00%,0.15%,0.00%,0.00%,0.17%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.02%,0.01%,0.01%,0.02%,0.03%
KAMPI COMPONENTS,0.02%,0.03%,0.02%,0.02%,0.02%,0.02%,0.02%,0.03%,0.03%,0.02%,0.02%,0.03%,0.02%,0.03%,0.06%,0.04%,0.03%,0.03%,0.06%,0.04%,0.02%,0.02%,0.03%
81594350,0.09%,-0.06%,0.02%,0.04%,0.14%,0.10%,0.02%,0.05%,0.09%,0.02%,0.04%,0.01%,0.02%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%
63152573,0.08%,0.00%,0.01%,0.00%,0.00%,0.28%,0.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%
56484637,0.20%,0.22%,0.04%,0.14%,0.00%,0.00%,0.01%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%
118947956,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.14%,0.13%,0.28%,0.13%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.01%,0.03%
ELBIT SYSTEMS,0.00%,0.01%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.03%,0.07%,0.22%,0.19%,0.02%,0.01%,0.00%,0.00%,0.00%,0.01%,0.00%,0.03%
48159342,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.02%,0.02%,0.02%,0.01%,0.00%,0.00%,0.04%,0.02%,0.05%,0.08%,0.05%,0.06%,0.04%,0.15%,0.03%
SABRELINER,0.23%,0.15%,0.11%,0.14%,-0.01%,0.00%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%
144999690,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.03%,0.05%,0.10%,0.03%,0.09%,0.04%,0.15%,0.05%,0.01%,0.00%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.03%
2283539,0.04%,0.03%,0.05%,0.02%,0.04%,0.03%,0.06%,0.02%,0.02%,0.03%,0.03%,0.02%,0.03%,0.03%,0.01%,0.02%,0.04%,0.02%,0.02%,0.01%,0.01%,0.01%,0.03%
966423352,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.01%,0.02%,0.03%,0.03%,0.02%,0.03%,0.04%,0.08%,0.07%,0.06%,0.06%,0.04%,0.05%,0.03%
782389837,0.00%,0.01%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.01%,0.00%,0.02%,0.00%,0.00%,0.01%,0.04%,0.05%,0.10%,0.24%,0.02%
2037513,0.01%,0.03%,0.04%,0.03%,0.03%,0.11%,0.06%,0.02%,0.02%,0.02%,0.01%,0.01%,0.02%,0.01%,0.04%,0.03%,0.01%,0.01%,0.02%,0.01%,0.01%,0.00%,0.02%
17689373,0.03%,0.04%,0.02%,0.01%,0.01%,0.03%,0.02%,0.02%,0.03%,0.03%,0.04%,0.08%,0.06%,0.03%,0.04%,0.03%,0.02%,0.01%,0.00%,0.00%,0.00%,0.00%,0.02%
601020951,0.00%,0.00%,0.00%,0.01%,0.01%,0.04%,0.51%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%
144387615,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.02%,0.06%,0.04%,0.01%,0.04%,0.03%,0.04%,0.05%,0.05%,0.07%,0.05%,0.02%,0.00%,0.02%,0.01%,0.02%
114125862,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%,0.01%,0.05%,0.03%,0.05%,0.05%,0.04%,0.06%,0.11%,0.02%
179559364,0.00%,0.00%,0.00%,0.10%,0.41%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%
12386405,0.06%,0.10%,0.05%,0.04%,0.02%,0.02%,0.02%,0.02%,0.01%,0.02%,0.01%,0.00%,0.00%,0.01%,0.02%,0.00%,0.01%,0.03%,0.02%,0.01%,0.01%,0.03%,0.02%
TIMKEN CO,0.03%,0.04%,0.06%,0.06%,0.03%,0.04%,0.03%,0.01%,0.00%,0.06%,0.02%,0.06%,0.00%,0.00%,0.00%,0.03%,0.01%,0.00%,0.01%,0.00%,0.00%,0.00%,0.02%
STANDARD AERO [CANADA HQ],0.03%,0.01%,0.01%,0.01%,0.18%,0.07%,0.08%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%
1307594,0.01%,0.03%,0.00%,0.03%,0.03%,0.05%,0.03%,0.02%,0.01%,0.02%,0.01%,0.02%,0.02%,0.03%,0.03%,0.03%,0.01%,0.02%,0.03%,0.02%,0.01%,0.04%,0.02%
SAMSUNG,0.05%,0.10%,0.03%,0.09%,0.03%,0.01%,-0.02%,0.01%,0.01%,0.02%,0.00%,0.00%,0.04%,0.01%,0.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%
83334987,0.00%,0.01%,0.02%,0.00%,0.00%,0.05%,0.02%,0.04%,0.02%,0.02%,0.03%,0.00%,0.02%,0.00%,0.19%,0.00%,0.01%,0.02%,0.02%,0.00%,0.02%,0.00%,0.02%
HEICO,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.01%,0.03%,0.03%,0.04%,0.04%,0.03%,0.04%,0.12%,0.04%,0.05%,0.00%,0.02%,0.02%
71926661,0.01%,0.01%,0.02%,0.02%,0.01%,0.01%,0.03%,0.02%,0.03%,0.02%,0.02%,0.02%,0.02%,0.02%,0.03%,0.03%,0.03%,0.05%,0.02%,0.02%,0.02%,0.02%,0.02%
110480956,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,0.02%,0.04%,0.05%,0.06%,0.06%,0.03%,0.04%,0.02%,0.02%,0.03%,0.08%,0.02%
27957869,0.02%,0.01%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.02%,0.04%,0.04%,0.02%,0.02%,0.03%,0.02%,0.10%,0.05%,0.01%,0.02%,0.02%
782766831,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.03%,0.02%,0.06%,0.05%,0.06%,0.04%,0.07%,0.06%,0.04%,0.04%,0.00%,0.00%,0.02%
794958835,0.02%,0.03%,0.03%,0.02%,0.02%,0.01%,0.00%,0.01%,0.01%,0.01%,0.02%,0.02%,0.02%,0.02%,0.03%,0.02%,0.03%,0.04%,0.02%,0.02%,0.02%,0.04%,0.02%
796856362,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,0.16%,0.16%,0.08%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%
782449107,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.03%,0.02%,0.01%,0.02%,0.02%,0.02%,0.05%,0.04%,0.17%,0.02%,0.02%,0.03%,0.01%,0.02%
932135148,0.15%,0.09%,0.01%,0.01%,0.00%,0.01%,0.02%,0.04%,0.00%,0.04%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.02%
58796855,0.04%,0.02%,0.02%,0.03%,0.06%,0.07%,0.08%,0.03%,0.03%,0.00%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.00%,0.01%,0.00%,0.02%
TLM MANUFACTURING,0.05%,0.00%,0.00%,0.03%,0.02%,0.02%,0.04%,0.01%,0.02%,0.01%,0.01%,0.01%,0.01%,0.02%,0.01%,0.01%,0.02%,0.01%,0.03%,0.05%,0.02%,0.02%,0.02%
156171134,0.03%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.04%,0.02%,0.01%,0.02%,0.02%,0.03%,0.02%,0.02%,0.01%,0.01%,0.01%,0.06%,0.01%,0.00%,0.00%,0.02%
21854294,0.02%,0.02%,0.03%,0.00%,0.01%,0.02%,0.02%,0.00%,0.00%,0.00%,0.00%,0.02%,0.04%,0.02%,0.03%,0.06%,0.02%,0.05%,0.02%,0.02%,0.01%,0.01%,0.02%
91824177,0.31%,0.12%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%
SAIC,0.08%,0.01%,0.00%,0.03%,0.04%,0.05%,0.03%,0.00%,0.08%,0.01%,0.00%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.00%,0.00%,0.01%,0.02%,0.02%
131820631,0.13%,0.02%,0.06%,0.03%,0.04%,0.09%,0.00%,0.00%,0.00%,0.00%,0.02%,0.02%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%
BATTELLE,0.02%,0.03%,0.01%,0.01%,0.02%,0.01%,0.02%,0.14%,0.09%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%
GLOBAL STRATEGIES GROUP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.05%,0.25%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%
BFM AEROSPACE,0.02%,0.02%,0.06%,0.02%,0.05%,0.00%,0.03%,0.02%,0.02%,0.02%,0.02%,0.01%,0.02%,0.03%,0.01%,0.01%,0.02%,0.02%,0.01%,0.01%,0.01%,0.00%,0.02%
119052785,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.10%,0.12%,0.14%,0.09%,0.01%,0.00%,0.00%,0.00%,0.00%,0.02%
65708786,0.01%,0.03%,0.04%,0.03%,0.00%,0.00%,0.07%,0.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%
39276225,0.16%,0.04%,0.02%,0.02%,0.00%,0.02%,0.01%,0.02%,0.03%,0.01%,0.03%,0.02%,0.00%,0.00%,0.01%,0.01%,0.01%,0.01%,0.01%,0.02%,0.00%,0.00%,0.02%
CATERPILLAR,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.03%,0.05%,0.04%,0.03%,0.02%,0.04%,0.02%,0.03%,0.08%,0.03%,0.02%,0.00%,0.00%,0.01%,0.01%,0.02%
113501704,0.10%,0.08%,0.05%,0.03%,0.02%,0.02%,0.03%,0.02%,0.02%,0.00%,0.02%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%
197368322,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.33%,0.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%
473848745,0.00%,0.00%,0.00%,0.00%,0.00%,0.18%,0.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%
18925735,0.00%,0.02%,0.08%,0.00%,0.04%,0.07%,0.09%,0.01%,0.01%,0.04%,-0.02%,0.00%,0.00%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%
38729679,0.03%,0.01%,0.02%,0.01%,0.01%,0.02%,0.02%,0.02%,0.02%,0.01%,0.03%,0.02%,0.03%,0.01%,0.03%,0.01%,0.02%,0.02%,0.01%,0.02%,0.00%,0.00%,0.02%
69172294,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.02%,0.01%,0.01%,0.03%,0.02%,0.03%,0.05%,0.07%,0.06%,0.02%,0.02%,0.02%
COBHAM PLC,0.00%,0.00%,0.10%,0.09%,0.03%,0.07%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%
803638477,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,0.03%,0.03%,0.05%,0.07%,0.05%,0.02%,0.02%,0.01%,0.06%,0.02%
139659080,0.43%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%
831179457,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,0.02%,0.02%,0.04%,0.05%,0.05%,0.07%,0.03%,0.04%,0.02%
2049880,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.02%,0.02%,0.03%,0.03%,0.03%,0.02%,0.03%,0.01%,0.01%,0.02%,0.04%,0.02%,0.01%,0.02%,0.02%
37695616,0.07%,0.02%,0.03%,0.05%,0.03%,0.07%,0.04%,0.01%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%
828194758,0.00%,0.00%,0.00%,0.00%,0.03%,0.01%,0.01%,0.00%,0.01%,0.01%,0.05%,0.06%,0.00%,0.03%,0.03%,0.01%,0.03%,0.01%,0.01%,0.02%,0.01%,0.01%,0.02%
EADS NV,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.03%,0.04%,0.12%,0.05%,0.05%,0.06%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%
28817984,0.00%,0.00%,0.00%,0.12%,0.19%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%
801694282,0.07%,0.08%,0.05%,0.02%,0.04%,0.03%,0.03%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.02%,0.01%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.02%
92043256,0.00%,0.00%,0.00%,0.00%,0.03%,0.09%,0.06%,0.01%,0.06%,0.01%,0.01%,0.04%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%
151317955,0.06%,0.02%,0.00%,0.01%,0.04%,0.02%,0.00%,0.02%,0.01%,0.01%,0.01%,0.02%,0.02%,0.01%,0.01%,0.03%,0.02%,0.01%,0.00%,0.01%,0.00%,0.00%,0.02%
34879544,0.01%,0.01%,0.02%,0.03%,0.01%,0.01%,0.06%,0.02%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.00%,0.02%,0.01%,0.02%,0.02%
613901826,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.03%,0.01%,0.06%,0.04%,0.05%,0.08%,0.01%
103304841,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.06%,0.13%,0.08%,0.02%,0.00%,0.00%,0.01%
791792583,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.05%,0.07%,0.11%,0.02%,0.00%,0.00%,0.01%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
AM GENERAL,0.30%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
5451240,0.01%,0.01%,0.01%,0.08%,0.02%,0.02%,0.04%,0.03%,0.02%,0.00%,0.01%,0.01%,0.00%,0.01%,0.01%,0.01%,0.00%,0.00%,0.01%,0.01%,0.01%,0.01%,0.01%
5277249,0.00%,0.18%,0.17%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
3498029,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.01%,0.02%,0.01%,0.01%,0.01%,0.01%,0.05%,0.05%,0.06%,0.04%,0.02%,0.01%,0.00%,0.00%,0.01%,0.01%
1026207,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,0.14%,0.01%
78868629,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.24%,0.01%,0.01%
197223399,0.05%,0.07%,0.07%,0.04%,0.02%,0.03%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
1141407,0.04%,0.04%,0.02%,0.12%,0.05%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
933851081,0.01%,0.03%,0.02%,0.02%,0.02%,0.01%,0.03%,0.02%,0.03%,0.01%,0.01%,0.01%,0.02%,0.01%,0.02%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
33999764,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.18%,0.01%,0.01%,0.01%,0.01%
78821579,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.07%,0.03%,0.01%,0.06%,0.03%,0.02%,0.01%
621410299,0.00%,0.03%,0.01%,0.02%,0.02%,0.06%,0.04%,0.00%,0.00%,0.00%,0.01%,0.01%,0.02%,0.01%,0.02%,0.02%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.01%
SAID,0.00%,0.04%,0.00%,0.05%,0.03%,0.03%,0.03%,0.05%,0.04%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
964979913,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.02%,0.03%,0.00%,0.00%,0.00%,0.09%,0.05%,0.03%,0.02%,0.01%
9251042,0.01%,0.01%,0.02%,0.04%,0.02%,0.01%,0.03%,0.01%,0.03%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%
47874839,0.02%,0.00%,0.00%,0.00%,0.01%,0.03%,0.01%,0.02%,0.02%,0.03%,0.02%,0.03%,0.03%,0.02%,0.02%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
ARINC [Carlyle Group],0.14%,0.00%,0.01%,0.00%,0.01%,0.01%,0.00%,0.00%,0.00%,0.09%,0.01%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
758989446,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.06%,0.04%,0.04%,0.00%,0.05%,0.01%
132098315,0.00%,0.00%,0.00%,0.00%,0.04%,0.02%,0.05%,0.01%,0.00%,0.00%,0.01%,0.00%,0.00%,0.01%,0.01%,0.01%,0.02%,0.05%,0.02%,0.01%,0.01%,0.01%,0.01%
ASTRONAUTICS OF AMERICA,0.01%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.01%,0.01%,0.04%,0.00%,0.06%,0.03%,0.00%,0.03%,0.01%,0.06%,0.01%
806991118,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.13%,0.00%,0.05%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
118649891,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.02%,0.01%,0.01%,0.02%,0.01%,0.01%,0.02%,0.02%,0.02%,0.03%,0.03%,0.02%,0.02%,0.02%,0.01%
SUPPLYCORE,0.00%,0.16%,0.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,0.00%,0.00%,0.01%
1142702,0.00%,0.00%,0.01%,0.01%,0.00%,0.01%,0.01%,0.02%,0.01%,0.01%,0.03%,0.03%,0.02%,0.01%,0.02%,0.02%,0.02%,0.03%,0.02%,0.01%,0.00%,0.01%,0.01%
56989031,0.03%,0.02%,0.02%,0.02%,0.01%,0.01%,0.02%,0.01%,0.01%,0.01%,0.03%,0.01%,0.02%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.00%,0.00%,0.01%
5235882,0.04%,0.04%,0.02%,0.10%,0.01%,0.01%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%
843897112,0.00%,0.06%,0.16%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
PRAXAIR,0.05%,0.04%,0.04%,0.04%,0.02%,0.03%,0.02%,0.01%,0.01%,0.01%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
152136628,0.06%,0.01%,0.03%,0.09%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
600041321,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.09%,0.01%,0.00%,0.01%,0.00%,0.00%,0.02%,0.01%,0.01%,0.00%,0.00%,0.01%,0.00%,0.00%,0.01%,0.07%,0.01%
AEROQUIP VICKERS,0.00%,0.00%,0.00%,0.01%,0.02%,0.02%,0.01%,0.01%,0.02%,0.01%,0.00%,0.02%,0.00%,0.01%,0.02%,0.02%,0.01%,0.02%,0.02%,0.01%,0.01%,0.01%,0.01%
151262938,0.11%,0.03%,0.06%,0.01%,0.01%,0.00%,0.04%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
1007558,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.04%,0.00%,0.00%,0.00%,0.00%,0.04%,0.00%,0.05%,0.01%,0.03%,0.00%,0.00%,0.01%
789484664,0.00%,0.00%,0.00%,0.00%,0.00%,0.13%,0.08%,0.01%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
174510750,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.01%,0.00%,0.04%,0.05%,0.02%,0.02%,0.04%,0.03%,0.01%
40370249,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.10%,0.01%,0.00%,0.00%,0.01%,0.01%,0.03%,0.01%,0.02%,0.01%
623316726,0.02%,0.01%,0.00%,0.00%,0.00%,0.07%,0.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.01%
109234716,0.00%,0.01%,0.02%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.01%,0.02%,0.04%,0.03%,0.04%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.02%,0.01%
80846413,0.03%,0.01%,0.04%,0.01%,0.01%,0.06%,0.03%,0.02%,0.00%,0.02%,0.05%,0.00%,-0.01%,-0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
27005180,0.03%,0.01%,0.02%,0.01%,0.00%,0.01%,0.02%,0.01%,0.02%,0.01%,0.01%,0.01%,0.01%,0.00%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.00%,0.01%
363384004,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.10%,0.03%,0.05%,0.02%,0.01%,0.00%,0.00%,0.01%
194903670,0.02%,0.02%,0.02%,0.01%,0.01%,0.02%,0.01%,0.01%,0.01%,0.00%,0.01%,0.01%,0.00%,0.01%,0.02%,0.01%,0.01%,0.02%,0.01%,0.01%,0.01%,0.01%,0.01%
878972892,0.00%,0.03%,0.01%,0.00%,0.01%,0.01%,0.00%,0.00%,0.01%,0.00%,0.03%,0.01%,0.02%,0.01%,0.04%,0.00%,0.01%,0.03%,0.01%,0.01%,0.00%,0.01%,0.01%
