"","fydp_year","account","organization","program_number","program_name","project_number","project_name","fy","amount","amount_18","stage"
"2071","2018 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2017,2262000,2.297428,"Advanced Technology Development"
"2072","2018 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","634921","Aircraft Propulsion Subsystems Int",2017,19757000,20.06644,"Advanced Technology Development"
"2073","2018 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","635098","Advanced Aerospace Propulsion",2017,25013000,25.40476,"Advanced Technology Development"
"2074","2018 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program","671012","Aircraft Engine Component Improvement Program (USAF)",2017,78293000,79.51925,"Operational Systems Development"
"2075","2018 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program","675365","Aircraft Engine Component Improvement Program (F135)",2017,31566000,32.0604,"Operational Systems Development"
"2076","2018 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2017,9755000,9.907786,"Applied Research"
"2077","2018 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2017,12238000,12.42968,"Advanced Technology Development"
"2078","2018 FYDP","RDT&E","Army","0607139A","Improved Turbine Engine Program","ES6","Improved Turbine Engine Program",2017,126105000,128.0801,"Operational Systems Development"
"2079","2018 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2017,4220000,4.286095,"Basic Research"
"2080","2018 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2017,27095000,27.51937,"Applied Research"
"2081","2018 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2018,145000,0.145,"Operational Systems Development"
"2082","2018 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2018,6097000,6.097,"Advanced Technology Development"
"2083","2018 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft-Engine Dev","652","AV-8B",2018,48780000,48.78,"System Development & Demonstration"
"2084","2018 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2018,94001000,94.001,"Operational Systems Development"
"2085","2018 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2018,10833000,10.833,"Applied Research"
"2086","2018 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2018,55304000,55.304,"Applied Research"
"2087","2018 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2018,45059000,45.059,"Applied Research"
"2088","2018 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","625330","Combustion and Mechanical Systems",2018,4616000,4.616,"Applied Research"
"2089","2018 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2018,2302000,2.302,"Advanced Technology Development"
"2090","2018 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","634921","Aircraft Propulsion Subsystems Int",2018,17902000,17.902,"Advanced Technology Development"
"2091","2018 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","635098","Advanced Aerospace Propulsion",2018,28797000,28.797,"Advanced Technology Development"
"2092","2018 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program","671012","Aircraft Engine Component Improvement Program (USAF)",2018,76969000,76.969,"Operational Systems Development"
"2093","2018 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program","675365","Aircraft Engine Component Improvement Program (F135)",2018,32274000,32.274,"Operational Systems Development"
"2094","2018 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2018,10456000,10.456,"Applied Research"
"2095","2018 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2018,12765000,12.765,"Advanced Technology Development"
"2096","2018 FYDP","RDT&E","Army","0607139A","Improved Turbine Engine Program","ES6","Improved Turbine Engine Program",2018,204304000,204.304,"Operational Systems Development"
"2097","2018 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2018,3460000,3.46,"Basic Research"
"2098","2018 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2018,28612000,28.612,"Applied Research"
"2099","2018 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2019,148000,0.145565,"Operational Systems Development"
"2100","2018 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2019,6154000,6.052752,"Advanced Technology Development"
"2101","2018 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft-Engine Dev","652","AV-8B",2019,46695000,45.92675,"System Development & Demonstration"
"2102","2018 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2019,105965000,104.2216,"Operational Systems Development"
"2103","2018 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2019,11010000,10.82886,"Applied Research"
"2104","2018 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2019,55222000,54.31346,"Applied Research"
"2105","2018 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2019,46915000,46.14313,"Applied Research"
"2106","2018 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","625330","Combustion and Mechanical Systems",2019,4690000,4.612838,"Applied Research"
"2107","2018 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2019,2358000,2.319205,"Advanced Technology Development"
"2108","2018 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","634921","Aircraft Propulsion Subsystems Int",2019,18194000,17.89466,"Advanced Technology Development"
"2109","2018 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","635098","Advanced Aerospace Propulsion",2019,20346000,20.01126,"Advanced Technology Development"
"2110","2018 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program","671012","Aircraft Engine Component Improvement Program (USAF)",2019,78314000,77.02554,"Operational Systems Development"
"2111","2018 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program","675365","Aircraft Engine Component Improvement Program (F135)",2019,32802000,32.26233,"Operational Systems Development"
"2112","2018 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2019,10727000,10.55051,"Applied Research"
"2113","2018 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2019,21815000,21.45609,"Advanced Technology Development"
"2114","2018 FYDP","RDT&E","Army","0607139A","Improved Turbine Engine Program","ES6","Improved Turbine Engine Program",2019,196074000,192.8481,"Operational Systems Development"
"2115","2018 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2019,3545000,3.486676,"Basic Research"
"2116","2018 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2019,27898000,27.43901,"Applied Research"
"2117","2018 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2020,146000,0.1409884,"Operational Systems Development"
"2118","2018 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2020,6277000,6.061535,"Advanced Technology Development"
"2119","2018 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft-Engine Dev","652","AV-8B",2020,38034000,36.72844,"System Development & Demonstration"
"2120","2018 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2020,106482000,102.8269,"Operational Systems Development"
"2121","2018 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2020,11206000,10.82134,"Applied Research"
"2122","2018 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2020,56944000,54.98933,"Applied Research"
"2123","2018 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2020,48265000,46.60825,"Applied Research"
"2124","2018 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","625330","Combustion and Mechanical Systems",2020,4772000,4.608196,"Applied Research"
"2125","2018 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2020,2404000,2.32148,"Advanced Technology Development"
"2126","2018 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","634921","Aircraft Propulsion Subsystems Int",2020,18539000,17.90263,"Advanced Technology Development"
"2127","2018 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","635098","Advanced Aerospace Propulsion",2020,20751000,20.0387,"Advanced Technology Development"
"2128","2018 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program","671012","Aircraft Engine Component Improvement Program (USAF)",2020,79938000,77.19404,"Operational Systems Development"
"2129","2018 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program","675365","Aircraft Engine Component Improvement Program (F135)",2020,33412000,32.2651,"Operational Systems Development"
"2130","2018 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2020,10941000,10.56544,"Applied Research"
"2131","2018 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2020,22379000,21.61082,"Advanced Technology Development"
"2132","2018 FYDP","RDT&E","Army","0607139A","Improved Turbine Engine Program","ES6","Improved Turbine Engine Program",2020,253327000,244.6313,"Operational Systems Development"
"2133","2018 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2020,3637000,3.512156,"Basic Research"
"2134","2018 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2020,30157000,29.12183,"Applied Research"
"2135","2018 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2021,0,NA,"Operational Systems Development"
"2136","2018 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2021,6402000,NA,"Advanced Technology Development"
"2137","2018 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft-Engine Dev","652","AV-8B",2021,19115000,NA,"System Development & Demonstration"
"2138","2018 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2021,106081000,NA,"Operational Systems Development"
"2139","2018 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2021,11421000,NA,"Applied Research"
"2140","2018 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2021,58330000,NA,"Applied Research"
"2141","2018 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2021,46335000,NA,"Applied Research"
"2142","2018 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","625330","Combustion and Mechanical Systems",2021,4868000,NA,"Applied Research"
"2143","2018 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2021,2452000,NA,"Advanced Technology Development"
"2144","2018 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","634921","Aircraft Propulsion Subsystems Int",2021,18909000,NA,"Advanced Technology Development"
"2145","2018 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","635098","Advanced Aerospace Propulsion",2021,21167000,NA,"Advanced Technology Development"
"2146","2018 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program","671012","Aircraft Engine Component Improvement Program (USAF)",2021,81488000,NA,"Operational Systems Development"
"2147","2018 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program","675365","Aircraft Engine Component Improvement Program (F135)",2021,33992000,NA,"Operational Systems Development"
"2148","2018 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2021,11235000,NA,"Applied Research"
"2149","2018 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2021,22825000,NA,"Advanced Technology Development"
"2150","2018 FYDP","RDT&E","Army","0607139A","Improved Turbine Engine Program","ES6","Improved Turbine Engine Program",2021,247405000,NA,"Operational Systems Development"
"2151","2018 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2021,3726000,NA,"Basic Research"
"2152","2018 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2021,28331000,NA,"Applied Research"
"2153","2018 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2022,0,NA,"Operational Systems Development"
"2154","2018 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2022,6533000,NA,"Advanced Technology Development"
"2155","2018 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft-Engine Dev","652","AV-8B",2022,17355000,NA,"System Development & Demonstration"
"2156","2018 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2022,108207000,NA,"Operational Systems Development"
"2157","2018 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2022,11646000,NA,"Applied Research"
